business_type,cohort_date,province,industry_l1,industry_l2,industry_l3,primary_service,buuid,plan_created,charge_rate,principal_amount,total_amount_payable,total_amount_paid,plan_state
Sole Proprietor,2019-10-01 00:00:00,Gauteng,"Food, drink and hospitality",Other food,"Other Food, Drink & Hospitality",Card Machine,1571831326917-743424af-da2d-4778-a129-4d72697c9415,2021-09-13 18:51:44,22,18000,23450,23450,finished
Sole Proprietor,2019-10-01 00:00:00,Kwazulu-Natal,Professional services,Other services,Other,Card Machine,1572204635320-e7043541-4d08-4a9d-997d-6f049f223e41,2021-11-18 16:55:09,16,8000,9810,,collections_on_hold
Company,2019-11-01 00:00:00,Western Cape,"Healthcare, beauty and fitness",Sport,Recreation/Sports,Card Machine,1558694073149-092da813-88f7-45db-822d-f6db30d50d55,2021-11-18 14:27:31,20,12000,15290,,collections_on_hold
Sole Proprietor,2019-11-01 00:00:00,Eastern Cape,Retail,Retail home,Food/Beverage/Grocery,Card Machine,1574433586940-3d2a9b9c-fb8c-4dd6-8990-e34e4f7c4219,2021-10-18 08:08:54,15.96,150000,193500,33249.79,open
Company,2019-11-01 00:00:00,Free State,"Food, drink and hospitality",Other food,"Other Food, Drink & Hospitality",Card Machine,1574748671220-559a906f-b87e-4079-b877-1c7a0e8453b5,2021-11-18 14:04:10,23,15000,19550,,collections_on_hold
Sole Proprietor,2019-11-01 00:00:00,Free State,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1554580590358-77c14a90-1dbe-49c4-b83b-dde36a6fd3f1,2021-09-10 11:35:08,21,25000,32550,10894.8,open
Company,2019-11-01 00:00:00,Kwazulu-Natal,Home and repair,Home repair,Cleaning/Laundry Services,Card Machine,1574842681381-8faf6537-d478-44e1-a628-45b872617e75,2021-10-13 11:22:41,24,20000,26050,6025,open
Company,2019-11-01 00:00:00,Free State,Professional services,Other services,Other,Card Machine,1574850020963-969c0a1c-75d2-4687-9e8f-d9a2d1201e9a,2021-09-09 03:24:14,19,20000,26050,12439.11,open
Sole Proprietor,2019-11-01 00:00:00,Western Cape,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1571246571363-80681c98-3c08-4b92-a609-d64068538b26,2021-10-08 11:40:32,19,12000,21550,10047.92,open
Sole Proprietor,2019-11-01 00:00:00,Eastern Cape,"Food, drink and hospitality",Sit-in,Café,Card Machine,1575019208500-b9fff83d-0e00-4dbb-a0c7-22b0eba8699e,2021-11-24 13:24:36,24,11500,15000,,collections_on_hold
Company,2019-11-01 00:00:00,Gauteng,Retail,Retail home,Hardware shop,Card Machine,1574945653820-0ce08dd1-32d4-49e8-86d6-80fcaea88d60,2021-11-25 12:57:39,15.92,150000,193500,,collections_on_hold
Company,2019-11-01 00:00:00,Gauteng,Retail,Retail home,Hardware shop,Card Machine,1574945653820-0ce08dd1-32d4-49e8-86d6-80fcaea88d60,2021-09-06 14:20:08,18.92,100000,117000,60824.04,open
Sole Proprietor,2019-12-01 00:00:00,Western Cape,"Food, drink and hospitality",Sit-in,Restaurant,Card Machine,1575273130653-94699139-b883-4bc0-826c-2c8d7ab4861a,2021-10-01 07:30:29,21,50000,72017,16439.41,open
Sole Proprietor,2019-12-01 00:00:00,Free State,"Food, drink and hospitality",Other food,"Other Food, Drink & Hospitality",Card Machine,1575383445704-1353a134-e0ec-4aa3-8096-013e3333f174,2021-11-17 14:59:20,23,70000,91050,3206.76,open
Sole Proprietor,2019-12-01 00:00:00,Eastern Cape,Leisure and entertainment,Public,Ticketing,Card Machine,1575321671573-522838b5-f926-4df4-ab55-f730469f1938,2021-09-29 08:24:39,21,104000,180906,46325.79,open
Company,2019-05-01 00:00:00,Western Cape,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1558669835797-1ba7b2b9-9da4-43c6-a67c-48661910c8c3,2021-11-05 13:10:48,21,38000,49450,7259.7,open
Company,2019-06-01 00:00:00,Western Cape,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1559909555978-0826902e-f2f3-47d4-b464-23499498a859,2021-11-11 07:21:11,22,15000,60845,6381.54,open
Sole Proprietor,2019-06-01 00:00:00,Western Cape,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Card Machine,1560355002287-4e457777-c077-4140-ac1d-4fa0ef86a801,2021-11-02 10:27:57,23,17000,22150,2408.56,open
Sole Proprietor,2019-07-01 00:00:00,Gauteng,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Card Machine,1553615597046-9b181488-e624-4307-8e0c-c647cad9663f,2021-11-24 00:47:09,19,28000,36450,,collections_on_hold
Company,2019-07-01 00:00:00,North West,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1561293870764-3ac91500-33be-4ac1-9dde-a3e2610190a5,2021-11-25 18:06:04,14,6000,7730,,collections_on_hold
Sole Proprietor,2019-07-01 00:00:00,Gauteng,Retail,Retail apparel,Clothing and Accessories,Card Machine,1563121761915-a53d3906-e94b-408f-a2d6-a4df2cedb082,2021-09-22 11:36:22,22,129000,167750,36779.38,open
Sole Proprietor,2019-07-01 00:00:00,Mpumalanga,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Card Machine,1563791363897-5e5d84ba-a5b2-4679-ac90-1bf723437870,2021-10-14 11:32:37,15.53,160000,206400,26898.17,open
Company,2019-07-01 00:00:00,Kwazulu-Natal,Personal services,Personal services,Other Services,Card Machine,1564425304580-ecff3f19-ee0d-4bdc-a23b-cfffae7c6f89,2021-11-03 13:02:03,18,40000,52050,7388.64,open
Sole Proprietor,2019-08-01 00:00:00,Western Cape,Retail,Retail apparel,Clothing and Accessories,Card Machine,1564996027464-7a66902b-eaaf-4745-8799-56dd7a087932,2021-10-11 13:47:37,3,200000,260050,28877.41,open
Company,2019-08-01 00:00:00,Gauteng,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1564982959182-386d4200-181a-4b5b-a1b1-326c59801047,2021-10-28 18:32:48,23,15000,19550,3192.4,open
Sole Proprietor,2019-08-01 00:00:00,Gauteng,Retail,Other retail,Pet store,Card Machine,1565602997815-f739ce46-abc4-4338-a042-3c8a98242807,2021-11-08 13:46:20,10.72,68000,78200,15813.22,open
Sole Proprietor,2019-09-01 00:00:00,Free State,Retail,Retail home,Food/Beverage/Grocery,Card Machine,1568141657390-05bdb92d-cd17-43bf-acd3-b0c51008658f,2021-10-05 03:44:57,22,36000,254022,254022,finished
Sole Proprietor,2019-09-01 00:00:00,Western Cape,Retail,Retail art,Craft market,Card Machine,1568732661266-a22a726c-cb9c-424c-9ddb-f14f99eec7e9,2021-11-17 06:36:51,25,15000,18800,5052.25,open
Sole Proprietor,2019-09-01 00:00:00,Free State,"Food, drink and hospitality",Sit-in,Café,Card Machine,1568384929956-8d724b79-0bd0-458f-9b6a-854a6316b04b,2021-09-04 09:54:43,21,80000,104050,55874.94,open
Sole Proprietor,2019-09-01 00:00:00,Western Cape,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1537599441929-c8df6775-7fcb-4533-9358-044b90abea86,2021-09-03 19:22:00,21,20000,26050,11978.4,open
Sole Proprietor,2019-10-01 00:00:00,Eastern Cape,Retail,Other retail,Other Retail,Card Machine,1570524460459-7d9e60b0-b27e-4fb6-8515-692ca0e40180,2021-10-26 11:23:27,14,5000,6550,2984.8,open
Sole Proprietor,2019-10-01 00:00:00,Free State,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Card Machine,1571139460065-56f6ac92-4046-414b-a3fb-fb1fa03f7590,2021-10-12 18:41:48,20,10000,12250,4241.24,open
Company,2019-11-01 00:00:00,Gauteng,Retail,Retail art,Craft market,Card Machine,1553497676934-8778f90c-8418-465b-a7de-e851f270e657,2021-11-02 13:57:36,24,74000,96250,7334.64,open
Sole Proprietor,2019-11-01 00:00:00,Mpumalanga,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1572649599544-b6811cab-c754-4afd-9678-3063bfa150ca,2021-11-18 11:01:53,24,7500,9800,,collections_on_hold
Sole Proprietor,2019-11-01 00:00:00,Western Cape,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1570279457321-83e20ed4-8e9f-44c9-a66f-8a0c92dc1e3a,2021-11-09 11:02:12,23,40000,52050,6649.99,open
Sole Proprietor,2019-11-01 00:00:00,Gauteng,Retail,Retail apparel,Clothing and Accessories,Card Machine,1526584572835-ec3122da-6167-428a-a064-56aa5f3ec142,2021-10-04 06:50:41,15.52,170000,219300,51422.26,open
Company,2019-11-01 00:00:00,Kwazulu-Natal,Transportation,Goods transportation,Moving/Storage/Delivery,Card Machine,1574413743478-cbc74fdd-efe5-4a78-abbe-0cd59a0f0e5f,2021-11-25 13:32:46,20,18000,22010,,collections_on_hold
Sole Proprietor,2019-11-01 00:00:00,Kwazulu-Natal,Home and repair,Other repair,Other Home & Repair,Card Machine,1574444366587-26dc9d35-c76f-4d47-849d-77fa019844f1,2021-09-20 05:45:46,15.85,270000,348300,68716.97,open
Sole Proprietor,2019-11-01 00:00:00,Western Cape,Personal services,Personal services,Other Services,Card Machine,1520801970995-9956d864-e379-469b-9044-0851d2c7afc8,2021-11-19 17:55:19,23,38000,49450,,collections_on_hold
Sole Proprietor,2019-11-01 00:00:00,Kwazulu-Natal,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1574834023383-42acdc14-c3c3-4102-80db-402d9a56ba49,2021-11-17 11:32:06,24,5000,6550,580.8,open
Sole Proprietor,2019-11-01 00:00:00,Free State,Professional services,Other services,Other,Card Machine,1575020214555-f9870c27-bc74-4ef5-94ab-098be9c1a196,2021-11-15 10:44:06,26,15000,18800,3156.92,open
Sole Proprietor,2019-12-01 00:00:00,Free State,Retail,Retail gifts,Card Shop/Gifts/Souvenirs,Card Machine,1575114180655-2b765fda-6546-4768-a336-205d89896feb,2021-10-13 12:54:03,23,7500,9800,2602.99,open
Sole Proprietor,2019-12-01 00:00:00,Western Cape,"Food, drink and hospitality",Other food,"Other Food, Drink & Hospitality",Card Machine,1575039649274-afcf534d-8955-4d01-b8f1-dc562ccfe409,2021-10-19 16:02:45,23,10000,12950,2362.1,open
Sole Proprietor,2019-12-01 00:00:00,Mpumalanga,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Card Machine,1572445465065-756962e6-67e6-40fa-a443-99b3ec91c3af,2021-10-11 09:49:16,22,52000,194004,39887.03,open
Company,2019-08-01 00:00:00,Gauteng,Personal services,Personal services,Other Services,Card Machine,1566913832048-f7a8911c-6060-483c-9a1e-a7f12d2869b9,2021-10-07 19:44:16,21,25000,32550,8078.45,open
Sole Proprietor,2019-09-01 00:00:00,Gauteng,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Card Machine,1568292121943-93f3b36b-6941-422e-9559-78ade54899e9,2021-10-20 18:16:17,23,6000,7850,5092.2,open
Sole Proprietor,2019-10-01 00:00:00,Gauteng,Retail,Other retail,Other Retail,Card Machine,1553093179577-11e7ea28-5288-4a93-b537-4ea7e8b86f27,2021-10-04 05:26:58,3,3000,3710,2388.3,open
Sole Proprietor,2019-10-01 00:00:00,Western Cape,"Healthcare, beauty and fitness",Health,Medical & Health Practitioners/Services,Card Machine,1485973859878-fb97439e-5259-40e8-b94c-0c3b373a2d3a,2021-10-31 13:28:38,23,36000,46850,9901.51,open
Company,2019-10-01 00:00:00,Western Cape,"Food, drink and hospitality",Sit-in,Café,Card Machine,1571176973281-bbce8305-a9ca-4adb-9ddf-561f652a2729,2021-11-09 14:21:14,23,20000,26050,5648.11,open
Company,2019-10-01 00:00:00,Western Cape,"Food, drink and hospitality",Sit-in,Café,Card Machine,1571176973281-bbce8305-a9ca-4adb-9ddf-561f652a2729,2021-10-21 10:22:46,22,3000,3650,3650,finished
Company,2019-10-01 00:00:00,Kwazulu-Natal,Leisure and entertainment,Private,Events,Card Machine,1557293665429-b5b9d482-5b68-47a4-88c0-697a400d54de,2021-11-27 09:34:38,12,3000,3650,996.74,open
Sole Proprietor,2019-10-01 00:00:00,Gauteng,"Food, drink and hospitality",Sit-in,Restaurant,Card Machine,1571945425029-98fbd28c-d434-47e2-9124-a39d3bee1304,2021-11-10 08:46:30,23,34000,44250,5492.86,open
Sole Proprietor,2019-10-01 00:00:00,Western Cape,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1572183047227-223a14d9-4122-4b36-a0b9-c0d2cf66ca0f,2021-11-23 10:31:26,10,7000,9010,,collections_on_hold
Sole Proprietor,2019-11-01 00:00:00,Western Cape,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1571419856293-611c2ae7-b937-4758-8770-2f8a486ecde7,2021-11-12 18:53:39,21,10000,12950,2332.15,open
Sole Proprietor,2019-11-01 00:00:00,North West,Retail,Other retail,Pet store,Card Machine,1573565468964-7c5947d6-fa8a-408f-8e52-eed72ebfb9f3,2021-09-30 12:45:03,22,13000,16950,3512.55,open
Sole Proprietor,2019-11-01 00:00:00,Gauteng,Professional services,Legal services,Legal services,Card Machine,1573623685838-94c9d287-7405-4136-84b0-10824e9d2899,2021-11-18 11:39:04,24,14000,18250,,collections_on_hold
Sole Proprietor,2019-11-01 00:00:00,Free State,Retail,Retail home,Furniture / Home goods,Card Machine,1573654302917-9021fd48-8068-4d89-88a9-7145363c3e08,2021-11-18 18:28:12,24,6000,7850,,collections_on_hold
Sole Proprietor,2019-11-01 00:00:00,Western Cape,"Food, drink and hospitality",Other food,"Other Food, Drink & Hospitality",Card Machine,1573653742960-29e44e09-aba4-470a-ae07-f44b343a158c,2021-09-07 12:48:02,22,82000,106650,52316.42,open
Sole Proprietor,2019-11-01 00:00:00,Gauteng,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Card Machine,1573799371635-f6f6d3b8-0dcb-45f1-a69f-24ce29566956,2021-11-27 09:32:56,23,37000,51580,1633.23,open
Sole Proprietor,2019-11-01 00:00:00,Gauteng,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Card Machine,1573799371635-f6f6d3b8-0dcb-45f1-a69f-24ce29566956,2021-09-09 04:19:00,22,21000,27350,27350,finished
Sole Proprietor,2019-11-01 00:00:00,Gauteng,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Card Machine,1573799371635-f6f6d3b8-0dcb-45f1-a69f-24ce29566956,2021-11-27 09:32:56,23,37000,51580,1633.23,open
Sole Proprietor,2019-11-01 00:00:00,Gauteng,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Card Machine,1573799371635-f6f6d3b8-0dcb-45f1-a69f-24ce29566956,2021-09-09 04:19:00,22,21000,27350,27350,finished
Sole Proprietor,2019-11-01 00:00:00,Western Cape,"Food, drink and hospitality",Sit-in,Café,Card Machine,1574712793390-d8b754bf-56cd-4f92-a9de-bbff8d727dd5,2021-11-29 15:06:17,21,5500,6650,,open
Company,2019-11-01 00:00:00,Limpopo,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1574845190392-4755cff1-4342-4268-8daf-aea7ca293329,2021-09-22 17:43:43,9,30000,34251,16499.88,open
Sole Proprietor,2019-11-01 00:00:00,Mpumalanga,Home and repair,Home repair,Cleaning/Laundry Services,Card Machine,1572971005518-bd138e44-3a00-4945-b861-5409d21c6f2e,2021-09-07 06:44:32,9,6000,7370,5222.46,open
Sole Proprietor,2019-11-01 00:00:00,Western Cape,Personal services,Personal services,Other Services,Card Machine,1574846592761-2e30bd82-99b0-4698-99fe-b68b8e4c7eeb,2021-10-01 11:43:43,20,8000,10450,6413.6,open
Sole Proprietor,2019-11-01 00:00:00,Eastern Cape,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Card Machine,1574949136932-835c1fdf-2d12-415d-be51-c6b01709a5bd,2021-10-28 13:11:32,23,36000,46850,23443.53,open
Sole Proprietor,2019-12-01 00:00:00,Gauteng,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1573111694949-775b2805-c799-44b4-9053-d4a3d7920661,2021-11-08 10:24:00,23,34000,44250,3891.6,open
Sole Proprietor,2019-12-01 00:00:00,Limpopo,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1575354444380-07203c8d-cf9e-4734-af2d-83cf124ba985,2021-10-18 15:00:49,23,7000,9150,1524.9,open
Company,2019-12-01 00:00:00,Western Cape,"Food, drink and hospitality",Takeaway,Caterer,Card Machine,1575962633215-adbb5624-02c4-4e86-a29d-1218ef9947e0,2021-09-03 11:42:08,22,8000,10450,943.58,open
Company,2019-12-01 00:00:00,North West,Leisure and entertainment,Public,Ticketing,Card Machine,1575644145637-0de4cb88-a9b6-446e-b6bf-b8b5dbccaf77,2021-11-18 12:45:09,22,50000,65050,,collections_on_hold
Sole Proprietor,2019-12-01 00:00:00,Gauteng,Home and repair,Asset repair,Automotive services,Card Machine,1576655360556-6fa63eb0-1e39-4b21-a9f4-7bdb12d06dd2,2021-09-09 03:41:38,22,210000,273395,84604.74,open
Company,2019-12-01 00:00:00,Kwazulu-Natal,Retail,Retail office,Office supply & Stationery,Card Machine,1577703693963-695678bf-1244-47c8-945d-58ecd6c7e605,2021-11-26 08:55:42,20,2500,3050,1185,open
Sole Proprietor,2019-07-01 00:00:00,Mpumalanga,Retail,Other retail,Other Retail,Card Machine,1563788162414-c375bacd-0412-4540-bf40-75bd9a8f609a,2021-11-04 14:22:33,24,16500,21500,627.6,open
Sole Proprietor,2019-07-01 00:00:00,Western Cape,"Food, drink and hospitality",Sit-in,Café,Card Machine,1564573138313-771adee4-d8cb-4f2b-a511-973fc7f2927b,2021-10-26 15:24:33,20,20000,40685,6730,open
Sole Proprietor,2019-08-01 00:00:00,Western Cape,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1563887971558-b77e0348-1f6a-4fe1-953b-7c19e6464ac1,2021-11-25 19:25:40,11,20000,26050,,collections_on_hold
Sole Proprietor,2019-08-01 00:00:00,Mpumalanga,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Card Machine,1566405127020-a0378579-9277-4805-b858-d6df8c2baf38,2021-10-19 14:25:55,23,61000,79350,12275.1,open
Company,2019-08-01 00:00:00,Gauteng,"Food, drink and hospitality",Takeaway,Food truck / cart,Card Machine,1566387299134-f755ad89-1f46-499c-956a-3d23b1eb13e6,2021-11-26 07:11:36,23,42000,54650,2586.21,open
Company,2019-09-01 00:00:00,Western Cape,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1567425836614-e3724317-3cad-47b7-8cfb-1a364930fab7,2021-11-05 09:54:29,21,125000,155050,22430.94,open
Company,2019-09-01 00:00:00,Western Cape,"Healthcare, beauty and fitness",Health,Medical & Health Practitioners/Services,Card Machine,1569270540932-b4b2a896-1a24-4aa3-b973-b72102bc58a4,2021-10-20 05:35:30,23,101000,200414,21769.04,open
Sole Proprietor,2019-09-01 00:00:00,Western Cape,Personal services,Personal services,Other Services,Card Machine,1569832822097-388980eb-a19a-4fe4-8588-cbecf86faaf5,2021-11-26 09:06:42,23,7000,9150,629.05,open
Company,2019-09-01 00:00:00,Gauteng,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1569858049849-bc8b8795-ef88-44c4-8991-53e027f65163,2021-11-03 19:59:38,23,21000,27350,6624.46,open
Sole Proprietor,2019-10-01 00:00:00,Gauteng,Retail,Retail apparel,Jewelry and watches,Card Machine,1570456360050-9dc938e8-ab72-4132-9d1b-e663f477086f,2021-11-18 19:20:39,24,15000,19550,,collections_on_hold
Sole Proprietor,2019-10-01 00:00:00,Western Cape,"Food, drink and hospitality",Takeaway,Food truck / cart,Card Machine,1570978375480-5b27f7eb-ca82-4638-9782-1cdac6be3f9f,2021-10-13 17:26:31,23,14000,18110,2281.6,open
Company,2019-10-01 00:00:00,North West,Retail,Retail leisure,Toy/Hobby/Games,Card Machine,1571656588608-0dab11b4-fd59-4f66-bc59-7bd86a00c387,2021-10-20 09:15:45,13,14000,19916,5657.44,open
Company,2019-10-01 00:00:00,Western Cape,Travel and tourism,Accomodation,Hotel,Card Machine,1572340785932-cca87cae-6030-4dd7-bb61-9236798472e7,2021-09-27 14:56:25,22,39000,222712,67565.3,open
Company,2019-11-01 00:00:00,Kwazulu-Natal,"Food, drink and hospitality",Sit-in,Restaurant,Card Machine,1572594428523-b4ad4bf1-17bb-4779-aa58-fbf3d8d6c2e7,2021-11-17 06:12:07,14.89,990000,1275120,61601.39,open
Sole Proprietor,2019-11-01 00:00:00,Kwazulu-Natal,"Food, drink and hospitality",Other food,"Other Food, Drink & Hospitality",Card Machine,1569357985327-3cfe3add-bbaf-4b44-95fa-4c792d47b25e,2021-09-23 10:02:57,21,31000,57600,16939.55,open
Company,2019-11-01 00:00:00,Free State,Retail,Other retail,Other Retail,Card Machine,1568365955609-6dd592c1-edb2-40c2-8e9f-4383bbc2834d,2021-11-23 16:42:54,22,11500,13850,,collections_on_hold
Sole Proprietor,2019-11-01 00:00:00,Free State,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1573721358155-9b53b3d7-939e-430f-9075-45ea6fa44729,2021-10-28 09:32:26,12,3000,3950,533.76,open
Sole Proprietor,2019-11-01 00:00:00,Kwazulu-Natal,Home and repair,Home repair,Cleaning/Laundry Services,Card Machine,1574008692112-70c90ce7-9733-4f6b-a91a-3c650e8c314d,2021-11-05 09:27:11,23,55000,71550,7064.45,open
Company,2019-11-01 00:00:00,Gauteng,Online,Online,Online Retail,Card Machine,1574439934932-669a0a86-a417-413b-8531-78a2e950304e,2021-09-06 08:32:25,21,29000,47008,47008,finished
Company,2019-11-01 00:00:00,Gauteng,Online,Online,Online Retail,Card Machine,1574439934932-669a0a86-a417-413b-8531-78a2e950304e,2021-11-26 10:33:31,23,27000,64127,5097.58,open
Company,2019-11-01 00:00:00,Western Cape,Retail,Other retail,Other Retail,Card Machine,1574666939087-1a7f53f6-7091-4cf8-9633-33f3f4fb78fb,2021-10-20 12:14:54,23,11500,21726,4782.62,open
Sole Proprietor,2019-11-01 00:00:00,Eastern Cape,"Food, drink and hospitality",Takeaway,Food truck / cart,Card Machine,1574770900821-ccfd8125-1c0a-46a8-94bf-8921bec4d268,2021-10-19 10:49:04,19,4500,5855,2069.29,open
